from,to,distance
富山県,埼玉県,237.54784696867193
島根県,和歌山県,237.72262071145983
佐賀県,愛媛県,237.9367609131431
岐阜県,群馬県,238.2027838150316
富山県,栃木県,238.87924236546615
熊本県,広島県,239.22354188429227
東京都,福島県,239.33545013209738
京都府,静岡県,239.37416012327162
静岡県,石川県,239.74160871385268
静岡県,茨城県,240.35971002428207
千葉県,福島県,240.51334258832
島根県,大阪府,241.09480234274437
愛媛県,兵庫県,241.35706199800805
鳥取県,愛知県,244.67476675005275
高知県,奈良県,246.0664185763001
鳥取県,石川県,246.51056194688638
徳島県,岐阜県,246.52758560042452
徳島県,愛知県,247.95275692666507
兵庫県,石川県,248.52754897216792
宮崎県,愛媛県,248.57670941553198
富山県,東京都,249.08544836992894
広島県,和歌山県,249.43550360095472
愛知県,神奈川県,250.00249040463234
島根県,京都府,250.69545456354032
広島県,兵庫県,251.59622740716983
新潟県,山梨県,252.17146465286098
宮崎県,山口県,252.97665083998768
新潟県,東京都,253.13612012056697
青森県,北海道,254.0525563802815
滋賀県,山梨県,255.65338781947662
奈良県,富山県,255.8319160845508
大分県,香川県,255.88838331639366
福井県,群馬県,257.19648623810605
石川県,新潟県,257.28031964464157
愛知県,東京都,258.5820303908191
富山県,神奈川県,258.800004502822
愛知県,埼玉県,259.32763982930055
岡山県,福井県,259.53378231424466
高知県,京都府,261.09459685456716
島根県,滋賀県,261.1318538920218
長野県,山形県,261.40137827737243
三重県,長野県,261.61205007179524
群馬県,宮城県,263.12173456925774
大阪府,静岡県,263.29888311433456
岐阜県,神奈川県,264.690231537006
京都府,山梨県,264.92916155323456
大分県,岡山県,266.35232096684666
神奈川県,福島県,266.3824162105865
岡山県,岐阜県,266.42832884639984
島根県,奈良県,267.8594306959415
高知県,滋賀県,268.1639107788115
徳島県,福井県,268.91986076516133
宮崎県,高知県,269.15755019962126
岐阜県,埼玉県,269.54099613272757
愛媛県,大阪府,269.93151051812055
大阪府,富山県,270.5987983544852
岐阜県,東京都,270.70534348912156
香川県,岐阜県,270.8893775542434
奈良県,山梨県,271.39247775378317
新潟県,岩手県,272.29579416438156
埼玉県,山形県,272.52138173399095
熊本県,高知県,273.3588866889464
新潟県,千葉県,273.60738163368353
香川県,福井県,275.61899073575665
岡山県,愛知県,276.99448982529884
滋賀県,長野県,277.49428781708724
香川県,愛知県,277.7332416959273
新潟県,神奈川県,278.44502206285875
大分県,島根県,281.31431658980057
広島県,大阪府,282.1634906246547
石川県,埼玉県,283.30723584512805
京都府,長野県,283.9870734158416
宮城県,青森県,284.3902087028246
徳島県,山口県,284.5517755802896
山梨県,福島県,287.1760527012682
大分県,徳島県,287.869236383483
富山県,千葉県,288.19022035065694
福岡県,高知県,288.4135195616387
兵庫県,富山県,288.43095022295273
山形県,青森県,289.12503756793404
埼玉県,宮城県,289.3122594165477
東京都,山形県,289.8769829939274
石川県,栃木県,290.9228354091708
富山県,茨城県,291.76756030116906
山口県,鳥取県,291.92408189157464
宮崎県,広島県,292.67706028727474
石川県,東京都,293.1224520211601
島根県,福井県,293.6139070509971
兵庫県,静岡県,293.7715517168671
千葉県,山形県,293.8668018193178
和歌山県,石川県,294.6280859971302
愛知県,千葉県,295.3606284106822
長崎県,愛媛県,295.4948913399137
三重県,群馬県,295.622178797681
三重県,神奈川県,296.07696271390347
愛媛県,奈良県,297.006425156665
大阪府,山梨県,297.6037264575415
長野県,宮城県,297.8973402765838
鳥取県,富山県,298.1546480564353
石川県,神奈川県,299.7727552335906
長崎県,広島県,301.95742852309
佐賀県,高知県,301.9988551518454
高知県,三重県,303.3351049696793
千葉県,宮城県,303.618521759804
愛媛県,京都府,303.9201465596475
鹿児島県,山口県,304.1490811630243
奈良県,長野県,304.6057440385567
東京都,宮城県,305.3741729303453
和歌山県,静岡県,305.90618001420955
三重県,東京都,308.20656898101697
岐阜県,千葉県,308.79492689296626
広島県,京都府,309.1873600071906
福井県,埼玉県,309.2879303007002
愛知県,栃木県,309.30687357443674
広島県,奈良県,310.62695096826894
富山県,福島県,311.2484836063569
三重県,埼玉県,311.3022570306095
愛媛県,滋賀県,312.523023304779
岐阜県,栃木県,313.00545492446616
福井県,東京都,315.3796766877671
福井県,神奈川県,316.18207331270025
神奈川県,山形県,317.0951037480359
福岡県,島根県,318.0724624140157
広島県,滋賀県,318.8658365378277
福井県,新潟県,321.9176796359656
岡山県,石川県,324.5072293750556
大阪府,長野県,324.8253649759344
島根県,三重県,325.2065116694083
兵庫県,山梨県,326.10656324674727
滋賀県,群馬県,326.9068090473371
富山県,山形県,326.9334414218484
鹿児島県,愛媛県,327.1490812519281
山梨県,山形県,327.9004056592994
静岡県,新潟県,330.2821108685368
和歌山県,富山県,331.1127487863413
神奈川県,宮城県,332.2073516530274
福井県,栃木県,332.7416645212913
島根県,岐阜県,332.76553947629196
石川県,千葉県,332.9450616716759
京都府,群馬県,335.0309377453797
徳島県,石川県,337.89166444306954
山口県,和歌山県,339.9081040154622
三重県,千葉県,342.6342608990144
福島県,青森県,342.66435873178625
香川県,石川県,342.7718128194639
石川県,茨城県,342.82483482866843
福岡県,香川県,344.0945834293862
福岡県,岡山県,344.28366819046084
愛知県,茨城県,344.49450522887116
島根県,石川県,344.807096835883
山口県,兵庫県,344.9722916218526
滋賀県,神奈川県,346.3235898773825
岐阜県,新潟県,346.55674939024107
大分県,和歌山県,346.59574357928153
兵庫県,長野県,347.58994462021303
奈良県,群馬県,348.23466731770253
大分県,鳥取県,348.6011278655909
和歌山県,山梨県,348.7443503273027
栃木県,秋田県,351.0952323268168
熊本県,香川県,351.12481700169513
島根県,愛知県,351.31044317351194
岐阜県,茨城県,351.8260281850539
長崎県,高知県,352.7394971412976
佐賀県,島根県,353.35865366019783
山梨県,宮城県,354.6398020771961
滋賀県,東京都,355.0086495697388
滋賀県,埼玉県,355.3792964195088
福井県,千葉県,355.3802837906761
京都府,神奈川県,356.1722285970341
高知県,岐阜県,356.38547292070564
鹿児島県,高知県,356.42947207052026
新潟県,青森県,356.85008267744865
愛知県,新潟県,356.8684823528264
奈良県,神奈川県,356.91808934583315
愛媛県,三重県,357.72556860229747
高知県,愛知県,358.37317952361855
静岡県,福島県,360.42553647784104
熊本県,岡山県,361.2730562973946
鹿児島県,広島県,361.79269059846274
石川県,福島県,363.83696394757084
宮崎県,香川県,363.92143530144745
京都府,東京都,364.5787324318136
徳島県,静岡県,364.62847632676363
京都府,埼玉県,364.7151816469724
栃木県,岩手県,366.11805603279845
熊本県,島根県,366.2143112198517
佐賀県,香川県,366.6273616462113
大分県,兵庫県,366.7718089826861
三重県,栃木県,366.9194861108592
富山県,宮城県,367.3082997145374
奈良県,東京都,367.9983015529936
奈良県,埼玉県,370.0912155284406
佐賀県,岡山県,370.2793448187761
高知県,福井県,371.40411712151365
大阪府,群馬県,372.2174825979466
岡山県,富山県,372.39858285104447
広島県,三重県,372.60673238329906
岩手県,北海道,374.0288720618484
山口県,大阪府,375.4152867446796
鳥取県,長野県,376.585021417993
茨城県,秋田県,376.73744175333945
石川県,山形県,377.4045260463268
宮崎県,徳島県,378.02385162675125
徳島県,富山県,378.49999433238605
茨城県,岩手県,378.9364312883573
長野県,秋田県,380.13535370299815
福井県,茨城県,380.2787415449482
鳥取県,静岡県,380.91105340756513
群馬県,秋田県,381.06814817850324
熊本県,徳島県,381.6195735275841
和歌山県,長野県,383.70713873444447
大阪府,神奈川県,384.59339104971474
宮崎県,岡山県,384.7054143094099
福岡県,徳島県,385.87713342854494
秋田県,北海道,386.2088977613401
香川県,富山県,388.2639239185702
広島県,福井県,388.8301718280716
滋賀県,千葉県,391.8146830798368
鳥取県,山梨県,391.9404405996675
大分県,大阪府,394.68049146203026
大阪府,東京都,395.1328150834704
大阪府,埼玉県,396.74490564580816
島根県,富山県,397.8259278607151
兵庫県,群馬県,398.4769179873264
三重県,茨城県,398.7870145375869
愛媛県,福井県,400.36411566826115
愛媛県,岐阜県,400.8876105446699
京都府,千葉県,401.5510784410215
滋賀県,栃木県,401.60492251058736
山口県,京都府,402.9274756975153
香川県,静岡県,403.1573935426417
奈良県,千葉県,403.24940439359716
静岡県,山形県,403.6266393077248
山口県,奈良県,403.78448687796026
広島県,岐阜県,404.1696089413785
佐賀県,徳島県,404.6140684055065
徳島県,山梨県,406.5869874665153
愛媛県,愛知県,407.49580855188265
岡山県,静岡県,407.5230180228525
福岡県,鳥取県,408.4866233512994
京都府,栃木県,409.97067151261103
群馬県,岩手県,411.32613472544193
山口県,滋賀県,412.5961777063512
兵庫県,神奈川県,414.42896694228773
広島県,愛知県,415.3318621952582
三重県,新潟県,418.4970048587163
石川県,宮城県,418.568966984213
富山県,秋田県,420.4541545015508
大分県,奈良県,421.12872080581917
長崎県,島根県,421.2731728453732
福井県,福島県,421.37057014966166
奈良県,栃木県,421.5782028657957
宮崎県,島根県,423.59206314438546
兵庫県,東京都,424.4300355064287
岐阜県,福島県,425.00322085885927
長崎県,香川県,425.4574109790918
兵庫県,埼玉県,425.5692649666361
長野県,岩手県,427.31196634496644
和歌山県,群馬県,427.4470802569443
愛知県,福島県,427.7890595549832
静岡県,宮城県,428.12102580720006
滋賀県,新潟県,428.266454776177
大分県,京都府,429.7634270029712
和歌山県,神奈川県,430.36762985050825
大阪府,千葉県,430.7798457651133
埼玉県,秋田県,431.2425971428538
長崎県,岡山県,432.1154665949874
宮崎県,和歌山県,433.4789139335531
京都府,新潟県,433.5594715944179
岡山県,山梨県,435.6331600920051
徳島県,長野県,436.4229463670489
香川県,山梨県,437.5881314489504
大分県,滋賀県,438.18403747915033
滋賀県,茨城県,439.4126588071955
高知県,石川県,439.4458477304403
福井県,山形県,439.49210407942275
佐賀県,鳥取県,439.86424618202733
熊本県,和歌山県,440.27954041573844
熊本県,鳥取県,441.0820781631864
岡山県,長野県,442.78996017678304
和歌山県,東京都,443.1875952850619
